categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Panes,0,LACTAL BLANCO,LA ESPANOLA,PAN LA ESPANOLA LACTAL BLANCO 350GR  ,1650.0,Blowmax,https://blowmax.com.ar/producto/pan-lactal-la-espanola-blanco-380gr/,350
Panes,1,MESA,LACTAL,PAN LACTAL RF DE MESA X315GR  ,2199.0,Blowmax,https://blowmax.com.ar/producto/pan-lactal-rf-de-mesa-x315gr/,315
Panes,2,SALVADO,LACTAL,PAN LACTAL RF SALVADO X 330GR  ,2399.0,Blowmax,https://blowmax.com.ar/producto/pan-lactal-rf-salvado-x-330gr/,330
Panes,3,INTEGRAL CORMILLOT,VENEZIANA,PAN VENEZIANA INTEGRAL CORMILLOT X 360G  ,1999.0,Blowmax,https://blowmax.com.ar/producto/pan-integral-cormillot-x-360g/,360
Panes,4,MULTICERAL,VENEZIANA,PAN VENEZIANA MULTICERAL X410G  ,2550.0,Blowmax,https://blowmax.com.ar/producto/pan-multiceral-venezianax-410g/,410
Panes,5,TRISALVADO,VENEZIANA,PAN VENEZIANA TRISALVADO X 620G  ,3399.0,Blowmax,https://blowmax.com.ar/producto/pan-trisalvado-venezianax-620g/,620
Arroces,6,LARGO FINO,BARBARA,ARROZ BARBARA LARGO FINO 1KG  ,1599.0,Blowmax,https://blowmax.com.ar/producto/arroz-barbara-largo-fino-1kg/,1000
Arroces,7,LARGO FINO,BARBARA,ARROZ BARBARA LARGO FINO 500 GR  ,699.0,Blowmax,https://blowmax.com.ar/producto/arroz-barbara-largo-fino-500-gr/,500
Arroces,8,LARGO FINO,CANUELAS,ARROZ CAÑUELAS LARGO FINO 1KG  ,1250.0,Blowmax,https://blowmax.com.ar/producto/arroz-canuelas-largo-fino-1kg/,1000
Arroces,9,PARBOIL,CANUELAS,ARROZ CAÑUELAS PARBOIL 500 GR  ,999.0,Blowmax,https://blowmax.com.ar/producto/arroz-canuelas-parboil-500-gr/,500
Arroces,10,,EL GRANDE,ARROZ EL GRANDE 1KG  ,1190.0,Blowmax,https://blowmax.com.ar/producto/arroz-el-grande-1kg/,1000
Arroces,11,,EL GRANDE,ARROZ EL GRANDE X 500 GR  ,790.0,Blowmax,https://blowmax.com.ar/producto/arroz-el-grande-x-500-gr/,500
Arroces,12,DOBLE CAROLINA,GALLO,ARROZ GALLO DOBLE CAROLINA CAJA X 1KG  ,3490.0,Blowmax,https://blowmax.com.ar/producto/arroz-gallo-doble-carolina-caja-x-1kg/,1000
Arroces,13,ORO PARBOIL,GALLO,ARROZ GALLO ORO PARBOIL X 1KG  ,2050.0,Blowmax,https://blowmax.com.ar/producto/arroz-gallo-oro-parboil-x-1kg/,1000
Arroces,14,ORO PARBOIL,GALLO,ARROZ GALLO ORO PARBOIL X 500GR  ,1050.0,Blowmax,https://blowmax.com.ar/producto/arroz-gallo-oro-paquete-x-500gr/,500
Arroces,15,PREPARADO QUESO,GALLO,ARROZ GALLO PREPARADO QUESO 240G  ,1890.0,Blowmax,https://blowmax.com.ar/producto/arroz-gallo-preparado-queso-240g/,240
Arroces,16,RISOTTO ESPANOLA,GALLO,ARROZ GALLO RISOTTO ESPA?OLA 240GR  ,2490.0,Blowmax,https://blowmax.com.ar/producto/arroz-gallo-risotto-espanola-240gr/,240
Arroces,17,RISOTTO PRIMAVERA,GALLO,ARROZ GALLO RISOTTO PRIM 240GR  ,2490.0,Blowmax,https://blowmax.com.ar/producto/arroz-gallo-risotto-prim-240gr/,240
Arroces,18,LARGO FINO,LUCCHETTI,ARROZ LUCCHETTI LARGO FINO PAQUETE X 500GR  ,899.0,Blowmax,https://blowmax.com.ar/producto/arroz-lucchetti-largo-fino-paquete-x-500gr/,500
Arroces,19,PARBOIL,LUCCHETTI,ARROZ LUCCHETTI PARBOIL PAQUETE X 1KG  ,1890.0,Blowmax,https://blowmax.com.ar/producto/arroz-lucchetti-parboil-paquete-x-1kg/,1000
Arroces,20,DOBLE CAROLINA,TIO CARLOS,ARROZ TIO CARLOS DOBLE CAROLINA X 1KG  ,2490.0,Blowmax,https://blowmax.com.ar/producto/arroz-tio-carlos-doble-carolina-x-1kgr/,1000
Arroces,21,DOBLE CAROLINA,TIO CARLOS,ARROZ TIO CARLOS DOBLE CAROLINA X 500GR  ,1290.0,Blowmax,https://blowmax.com.ar/producto/arroz-tio-carlos-doble-carolina-x-500gr/,500
Gaseosas,22,,SEVEN UP,GASEOSA 7UP LATA X354ML  ,849.0,Blowmax,https://blowmax.com.ar/producto/gaseosa-7up-lata-x354ml/,354
Shampoos,23,OLEO NUTRICION,DOVE,SH DOVE OLEO NUTRICION SUP 750ML  ,8500.0,Blowmax,https://blowmax.com.ar/producto/dove-sh-oleo-nutricion-prm-750ml/,750
Shampoos,24,OLEO NUTRICION,DOVE,SH DOVE OLEO NUTRICION SUP X400ML  ,4890.0,Blowmax,https://blowmax.com.ar/producto/sh-dove-oleo-nutricion-sup-x400ml/,400
