categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Arroces,0,MOLINO CARNAROLI ESTUCHE,ALA,ARROZ MOLINO ALA CARNAROLI ESTUCHE 500 GRS,3128.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/89121-arroz-molino-ala-carnaroli-estuche-500-grs--7791120099755.html,500
Arroces,1,INTEGRAL SELEC,GALLO,ARROZ INTEGRAL GALLO SELEC 500 GRS,1692.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/77314-arroz-integral-gallo-selec-500-grs--7790070433152.html,500
Arroces,2,LARGO FINO SELEC,GALLO,ARROZ L.FINO GALLO SELEC 1000 GRS,3272.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/77310-arroz-l-fino-gallo-selec-1000-grs--7790070433138.html,1000
Arroces,3,PARBOIL SELEC,GALLO,ARROZ PARB. GALLO SELEC 500 GRS,1897.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/77303-arroz-parb--gallo-selec-500-grs--7790070433114.html,500
Arroces,4,PARBOIL SELEC,GALLO,ARROZ PARB. GALLO SELEC 1000 GRS,4237.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/77293-arroz-parb--gallo-selec-1000-grs--7790070433091.html,1000
Arroces,5,LARGO FINO LARGO FIN,GALLO,ARROZ L.FINO GALLO GALLO LARGO FIN 1000 GRS,3927.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/77292-arroz-l-fino-gallo-gallo-largo-fin-1000-grs--7790070433084.html,1000
Arroces,6,INTEGRAL SELECCION ESTU,GALLO,ARROZ INTEGRAL GALLO SELECCION ESTU 1000 GRS,3720.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/61580-arroz-integral-gallo-seleccion-estu-1000-grs--7790070431585.html,1000
Arroces,7,LARGO FINO D.CAROLINA,GALLO,ARROZ LARGO FINO GALLO D.CAROLINA 1000 GRS,6028.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/61578-arroz-largo-fino-gallo-d-carolina-1000-grs--7790070431578.html,1000
Arroces,8,CARNAROLINA,GALLO,ARROZ GALLO CARNAROLINA 5 KG,24538.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/61567-arroz-gallo-carnarolina-5-kg--7791880001647.html,5000
Arroces,9,LARGO FINO,GALLO,ARROZ LARGO FINO GALLO BOLSA 1000 GRS,3557.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/61551-arroz-largo-fino-gallo-bolsa-1000-grs--7790070431448.html,1000
Arroces,10,LARGO FINO 0000,MENCHO,ARROZ LARGO FINO MENCHO 0000 1 KG,1196.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/60172-arroz-largo-fino-mencho-0000-1-kg--7792006000292.html,1000
Arroces,11,LARGO FINO ESTUCHE,MOCOVI,ARROZ LARGO FINO MOCOVI ESTUCHE 1000 GRS,1838.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/48386-arroz-largo-fino-mocovi-estuche-1000-grs--7794580000248.html,1000
Arroces,12,LARGO FINO 0000,VINCHA DE ORO,ARROZ LARGO FINO VINCHA DE ORO 0000 500 GRS,701.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/45072-arroz-largo-fino-vincha-de-oro-0000-500-grs--7794580000309.html,500
Arroces,13,LARGO FINO ESTUCHE,MOCOVI,ARROZ LARGO FINO MOCOVI ESTUCHE 500 GRS,966.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/45068-arroz-largo-fino-mocovi-estuche-500-grs--7794580000040.html,500
Arroces,14,LARGO FINO  LAMINADO,MOCOVI,ARROZ LARGO FINO MOCOVI BOLSA LAMINADO 500 GRS,756.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/45063-arroz-largo-fino-mocovi-bolsa-laminado-500-grs--7794580003041.html,500
Arroces,15,LARGO FINO  LAMINADO,MOCOVI,ARROZ LARGO FINO MOCOVI BOLSA LAMINADO 1 KG,1453.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/45058-arroz-largo-fino-mocovi-bolsa-laminado-1-kg--7794580003058.html,1000
Arroces,16,LARGO FINO 00000,APOSTOLES,ARROZ LARGO FINO APOSTOLES 00000 1000 GRS,995.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/32828-arroz-largo-fino-apostoles-00000-1000-grs--7791120031656.html,1000
Arroces,17,LARGO FINO 00000,TIO CARLOS,ARROZ L.FINO TIO CARLOS 00000 1000 GRS,1633.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/32852-arroz-l-fino-tio-carlos-00000-1000-grs--7792006000124.html,1000
Arroces,18,LARGO FINO 00000,NOBLE,ARROZ L.FINO NOBLE 5/0 1000 GRS,1490.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/17249-arroz-l-fino-noble-5-0-1000-grs--7790203000275.html,1000
Arroces,19,LARGO FINO,LUCCHETTI,ARROZ L.FINO LUCCHETTI   1000 GRS,1670.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/70390-arroz-l-fino-lucchetti---1000-grs--7790070431486.html,1000
Arroces,20,LARGO FINO 00000,TIO CARLOS,ARROZ L.FINO TIO CARLOS 00000 500 GRS,861.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/32845-arroz-l-fino-tio-carlos-00000-500-grs--7792006000117.html,500
Arroces,21,PARBOIL,LUCCHETTI,ARROZ PARB. LUCCHETTI BOLSA 1000 GRS,2230.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/82774-arroz-parb--lucchetti-bolsa-1000-grs--7790070431509.html,1000
Arroces,22,PARBOIL,ALA,ARROZ PARB. ALA   1000 GRS,1449.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/4992-arroz-parb--ala---1000-grs--7791120037559.html,1000
Arroces,23,PARBOIL,LUCCHETTI,ARROZ PARB. LUCCHETTI BOLSA 500 GRS,1759.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/82767-arroz-parb--lucchetti-bolsa-500-grs--7790070431516.html,500
Arroces,24,FORTUNA 00000,TIO CARLOS,ARROZ FORTUNA TIO CARLOS 00000 1000 GRS,2594.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/32815-arroz-fortuna-tio-carlos-00000-1000-grs--7792006000056.html,1000
Arroces,25,FORTUNA 00000,TIO CARLOS,ARROZ FORTUNA TIO CARLOS 00000 500 GRS,1359.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/32800-arroz-fortuna-tio-carlos-00000-500-grs--7792006000049.html,500
Arroces,26,PARBOIL,GALLO,ARROZ PARB. GALLO BOLSA 1 KG,3504.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/91789-arroz-parb--gallo-bolsa-1-kg--7790070431417.html,1000
Arroces,27,LARGO FINO,LUCCHETTI,ARROZ L.FINO LUCCHETTI   500 GRS,880.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/70385-arroz-l-fino-lucchetti---500-grs--7790070431493.html,500
Arroces,28,LARGO FINO 00000,NOBLE,ARROZ L.FINO NOBLE 5/0 500 GRS,848.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/14337-arroz-l-fino-noble-5-0-500-grs--7790203000282.html,500
Arroces,29,LARGO FINO 00000,SAN JAVIER,ARROZ L.FINO SAN JAVIER 00000 1000 GRS,1127.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/37755-arroz-l-fino-san-javier-00000-1000-grs--7798082970092.html,1000
Arroces,30,LARGO FINO,ALA,ARROZ L.FINO ALA   1000 GRS,1645.0,Atomo,https://atomoconviene.com/atomo-ecommerce/arroz/3541-arroz-l-fino-ala---1000-grs--7791120099847.html,1000
