categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Arroces,0,RISOTTO CHAMPINONES,GALLO,Arroz Gallo Risotto Champiñones X 240 Gr,2581.0,ModoMarket,https://www.modomarket.com/arroz-gallo-risotto-champinones-x-240-gr/p,240
Arroces,1,RISOTTO ESPANOLA,GALLO,Arroz Gallo Risotto Española Caja X 240 Gr,2172.0,ModoMarket,https://www.modomarket.com/arroz-gallo-risotto-espanola-caja-x-240-gr/p,240
Arroces,2,RISOTTO 4 QUESOS,GALLO,Arroz Gallo Risotto 4 Quesos Caja X   240 Gr,2172.0,ModoMarket,https://www.modomarket.com/arroz-gallo-risotto-4-quesos-caja-x-240-gr/p,240
Arroces,3,MIX DE VEGETALES BAJO EN SODIO,GALLO,Arroz Gallo Mix De Vegetales Bajo En Sodio X 240 G,1726.0,ModoMarket,https://www.modomarket.com/arroz-gallo-mix-de-vegetales-bajo-en-sodio-x-240-g/p,240
Arroces,4,PREPARADO SABOR VERDEO,GALLO,Arroz Preparado Gallo Sabor Verdeo X 240 Gr,1643.0,ModoMarket,https://www.modomarket.com/arroz-preparado-gallo-sabor-verdeo-x-240-gr/p,240
Panes,0,MESA,LACTAL,Pan De Mesa Lactal X 460 Gr,4200.0,ModoMarket,https://www.modomarket.com/pan-de-mesa-lactal-x-460-gr/p,460
Panes,1,SALVADO,LACTAL,Pan Lactal Salvado X 560 G,4950.0,ModoMarket,https://www.modomarket.com/pan-lactal-salvado-x-560-g/p,560
Panes,2,MESA,LACTAL,Pan De Mesa Lactal X 315 G,2950.0,ModoMarket,https://www.modomarket.com/pan-de-mesa-lactal-x-315-g/p,315
Panes,3,SALVADO,LA ESPANOLA,Pan C/salvado Familiar La Española X 580 G,2912.0,ModoMarket,https://www.modomarket.com/pan-csalvado-familiar-la-espanola-x-580-g/p,580
Panes,4,LACTEADO,LA ESPANOLA,Pan Lacteado Familiar La Española X 540 G,2688.0,ModoMarket,https://www.modomarket.com/pan-lacteado-familiar-la-espanola-x-540-g/p,540
Panes,5,SALVADO,LACTAL,Pan Lactal Salvado X 330 Gr,3300.0,ModoMarket,https://www.modomarket.com/pan-lactal-salvado-x-330-gr/p,330
Panes,6,ARTESANO MASA MADRE,BIMBO,Pan Artesano Bimbo Masa Madre X 500g,6800.0,ModoMarket,https://www.modomarket.com/pan-artesano-bimbo-masa-madre-x-500g/p,500
Panes,7,REBANADO LIVIANO,BIMBO,Pan Rebanado Liviano Bimbo X 610 Gr,6150.0,ModoMarket,https://www.modomarket.com/pan-rebanado-liviano-bimbo-x-610-gr/p,610
Panes,8,BLANCO,BIMBO,Pan Bimbo Blanco X 400 G,4700.0,ModoMarket,https://www.modomarket.com/pan-bimbo-blanco-x-400-g/p,400
Fideos,1,TALLARIN,LUCCHETTI,Fideos Lucchetti Tallarin X 500 Gr,1057.0,ModoMarket,https://www.modomarket.com/fideos-lucchetti-tallarin-x-500-gr/p,500
Fideos,2,TIRABUZON,LUCCHETTI,Fideos Lucchetti Tirabuzon X 500 Gr,1058.0,ModoMarket,https://www.modomarket.com/fideos-lucchetti-tirabuzon-x-500-gr/p,500
Fideos,3,CODITOS,TERRABUSI,Fideos Terrabusi Coditos X 500 G,985.0,ModoMarket,https://www.modomarket.com/fideos-terrabusi-coditos-x-500-g/p,500
Fideos,4,SPAGHETTI,TERRABUSI,Fideos Terrabusi Spaghetti X 500 Gr,985.0,ModoMarket,https://www.modomarket.com/fideos-terrabusi-spaghetti-x-500-gr/p,500
Fideos,6,CASERITOS,DON VICENTE,Fideos Don Vicente Caseritos X 500 Gr,2246.0,ModoMarket,https://www.modomarket.com/fideos-don-vicente-caseritos-x-500-gr/p,500
Fideos,7,MOSTACHOL,LUCCHETTI,Fideos Lucchetti Mostachol X 500 G,1058.0,ModoMarket,https://www.modomarket.com/fideos-lucchetti-mostachol-x-500-g/p,500
Fideos,8,MIX VEGETAL MOSTACHOL,TERRABUSI,Fideos Terrabusi Mix Vegetal Mostachol X 500 G,1178.0,ModoMarket,https://www.modomarket.com/fideos-terrabusi-mix-vegetal-mostachol-x-500-g/p,500
Fideos,9,RIGATTI,DON VICENTE,Fideos Don Vicente Rigatti X 500  G,2246.0,ModoMarket,https://www.modomarket.com/fideos-don-vicente-rigatti-x-500-g/p,500
Fideos,10,LETRITAS,LUCCHETTI,Fideos Lucchetti Letritas X 500 Gr,1057.0,ModoMarket,https://www.modomarket.com/fideos-lucchetti-letritas-x-500-gr/p,500
Fideos,11,SPAGHETTI L/GLUTEN,MATARAZZO,Fideos Matarazzo Spaghetti L/gluten X 500 G,2405.0,ModoMarket,https://www.modomarket.com/fideos-matarazzo-spaghetti-lgluten-x-500-g/p,500
Fideos,13,3 VEGETALES TIRABUZON,MATARAZZO,Fideos Matarazzo 3 Vegetales Tirabuzon X 500 Gr,1597.0,ModoMarket,https://www.modomarket.com/fideos-matarazzo-3-vegetales-tirabuzon-x-500-gr/p,500
Fideos,14,MOSTACHOL,TERRABUSI,Fideos Terrabusi Mostachol X 500 Gr,985.0,ModoMarket,https://www.modomarket.com/fideos-terrabusi-mostachol-x-500-gr/p,500
Fideos,15,TIRABUZON,TERRABUSI,Fideos Terrabusi Tirabuzon X 500 Gr,985.0,ModoMarket,https://www.modomarket.com/fideos-terrabusi-tirabuzon-x-500-gr/p,500
Fideos,16,TALLARIN,TERRABUSI,Fideos Terrabusi Tallarin X 500 Gr,985.0,ModoMarket,https://www.modomarket.com/fideos-terrabusi-tallarin-x-500-gr/p,500
Fideos,17,MUNICION,LUCCHETTI,Fideos Lucchetti Municiones X 500 Gr,1057.0,ModoMarket,https://www.modomarket.com/fideos-lucchetti-municiones-x-500-gr/p,500
Shampoos,0,MANZ FR,HEAD & SHOULDERS,Shampoo Head & Sh Manz Fr 375 Ml,5652.0,ModoMarket,https://www.modomarket.com/shampoo-head-sh-manz-fr-375-ml/p,375
Shampoos,1,HIDRATACION INTENSA,DOVE,Shampoo Dove  Hidratacion Intensa X 400 Ml,4562.0,ModoMarket,https://www.modomarket.com/shampoo-dove-hidratacion-intensa-x-400-ml/p,400
