categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Arroces,0,LARGO FINO,DON MARCOS,DON MARCOS ARROZ 1Kg LARGO FINO,1299.0,Segal,https://www.casa-segal.com/producto/don-marcos-arroz-1kg-largo-fino/,1000
Arroces,1,PARBOIL,DON MARCOS,DON MARCOS ARROZ 1Kg PARBOIT,1399.0,Segal,https://www.casa-segal.com/producto/don-marcos-arroz-1kg-parboit/,1000
Arroces,2,LARGO FINO,GALLO,GALLO ARROZ 1Kg LARGO FINO,1699.0,Segal,https://www.casa-segal.com/producto/gallo-arroz-1kg-largo-fino/,1000
Arroces,3,PARBOIL,GALLO,GALLO ARROZ 1Kg PARBOIL,1899.0,Segal,https://www.casa-segal.com/producto/gallo-arroz-1kg-parboil/,1000
Arroces,4,DOBLE,GALLO,GALLO ARROZ 500g DOBLE,1599.0,Segal,https://www.casa-segal.com/producto/gallo-arroz-500g-doble/,500
Arroces,5,INTEGRAL,GALLO,GALLO ARROZ 500g INTEGRAL,979.0,Segal,https://www.casa-segal.com/producto/gallo-arroz-500g-integral/,500
Arroces,6,LARGO FINO,GALLO,GALLO ARROZ 500g LARGO FINO,899.0,Segal,https://www.casa-segal.com/producto/gallo-arroz-500g-largo-fino/,500
Arroces,7,PARBOIL,GALLO,GALLO ARROZ 500g PARBOIL,999.0,Segal,https://www.casa-segal.com/producto/gallo-arroz-500g-parboil/,500
Yerbas,8,,CHAMIGO,CHAMIGO YERBA 1Kg,2599.0,Segal,https://www.casa-segal.com/producto/chamigo-yerba-1kg/,1000
Yerbas,9,,CHAMIGO,CHAMIGO YERBA 500g,1349.0,Segal,https://www.casa-segal.com/producto/chamigo-yerba-500g/,500
Yerbas,10,SELECCION,CRUZ DE MALTA,CRUZ DE MALTA SELECCIÓN 1Kg,3799.0,Segal,https://www.casa-segal.com/producto/cruz-de-malta-seleccion-1kg/,1000
Yerbas,11,ECOPACK,CRUZ DE MALTA,CRUZ DE MALTA YERBA 1Kg ECOPACK,3299.0,Segal,https://www.casa-segal.com/producto/cruz-de-malta-yerba-1kg-ecopack/,1000
Yerbas,12,ECOPACK,CRUZ DE MALTA,CRUZ DE MALTA YERBA 500g ECOPACK,1999.0,Segal,https://www.casa-segal.com/producto/cruz-de-malta-yerba-500g-ecopack/,500
Yerbas,13,BCP,MANANITA,MAÑANITA YERBA 1000g BCP,3999.0,Segal,https://www.casa-segal.com/producto/mananita-yerba-1000g-bcp/,1000
Yerbas,14,BCP,MANANITA,MAÑANITA YERBA 500g BCP,2099.0,Segal,https://www.casa-segal.com/producto/mananita-yerba-500g-bcp/,500
Yerbas,15,SELECCION,NOBLEZA GAUCHA,NOBLEZA GAUCHA SELECCIÓN 1kg,3099.0,Segal,https://www.casa-segal.com/producto/nobleza-gaucha-seleccion-1kg/,1000
Yerbas,16,,SALUS,SALUS YERBA 500g,1799.0,Segal,https://www.casa-segal.com/producto/salus-yerba-500g/,500
Yerbas,17,CON PALO,TARAGUI,TARAGUI YERBA 1Kg CON PALO,3899.0,Segal,https://www.casa-segal.com/producto/taragui-yerba-1kg-con-palo/,1000
Yerbas,18,SIN PALO,TARAGUI,TARAGUI YERBA 1Kg SIN PALO,4999.0,Segal,https://www.casa-segal.com/producto/taragui-yerba-1kg-sin-palo/,1000
Yerbas,19,CON PALO,TARAGUI,TARAGUI YERBA 500g CON PALO,2099.0,Segal,https://www.casa-segal.com/producto/taragui-yerba-500g-con-palo/,500
Gaseosas,20,,SEVEN UP,7UP 2.25Lts,1999.0,Segal,https://www.casa-segal.com/producto/7up-2-25lts/,2250
Gaseosas,21,FRESH COLA,BAGGIO,BAGGIO FRESH 2.25LT COLA,1000.0,Segal,https://www.casa-segal.com/producto/baggio-fresh-gaseosa-2-25lt-cola/,2250
Gaseosas,22,FRESH LIMA,BAGGIO,BAGGIO FRESH 2.25LT LIMA LIMÓN,1000.0,Segal,https://www.casa-segal.com/producto/baggio-fresh-gaseosa-2-25lt-lima-limon/,2250
Gaseosas,23,FRESH NARANJA,BAGGIO,BAGGIO FRESH 2.25LT NARANJA,1000.0,Segal,https://www.casa-segal.com/producto/baggio-fresh-gaseosa-2-25lt-naranja/,2250
Gaseosas,24,FRESH POMELO,BAGGIO,BAGGIO FRESH 2.25LT POMELO,1000.0,Segal,https://www.casa-segal.com/producto/baggio-fresh-gaseosa-2-25lt-pomelo/,2250
Gaseosas,25,,COCA COLA,COCA COLA 2.25Lts,2999.0,Segal,https://www.casa-segal.com/producto/coca-cola-2-25lts/,2250
Gaseosas,26,,COCA COLA,COCA COLA 500ml,999.0,Segal,https://www.casa-segal.com/producto/coca-cola-500ml/,500
Gaseosas,27,,COCA COLA,COCA COLA LATA 310cc,900.0,Segal,https://www.casa-segal.com/producto/coca-cola-lata-310cc/,310
Gaseosas,28,SIN AZUCAR,COCA COLA,COCA COLA ZERO 1.5Lts,2499.0,Segal,https://www.casa-segal.com/producto/coca-cola-zero-1-5lts/,1500
Gaseosas,29,SIN AZUCAR,COCA COLA,COCA COLA ZERO 2.25Lts,2999.0,Segal,https://www.casa-segal.com/producto/coca-cola-zero-2-25lts/,2250
